2013/11/20 00:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 05:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 05:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 05:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 05:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 05:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 05:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 05:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 06:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 06:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 06:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 06:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 06:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 06:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 06:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 06:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 06:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 06:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.16'' 	FL:threadpool.cpp(104)
2013/11/20 06:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 06:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 07:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 07:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 07:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 07:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 07:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 07:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 07:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 07:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 07:31:28 	W 	kuaipan 	00000d18:00002a34 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 07:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 07:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 07:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 07:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 07:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 07:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 08:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 08:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 08:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 08:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 08:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 08:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 08:16:28 	W 	kuaipan 	00000d18:00000e7c 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 08:25:30 	W 	kuaipan 	00000d18:00001c10 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 08:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 08:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 08:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 08:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 08:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 08:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 08:39:03 	W 	kuaipan 	00000d18:00000794 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 08:52:36 	W 	kuaipan 	00000d18:000023cc 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 09:01:38 	W 	kuaipan 	00000d18:00001114 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 09:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 09:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 09:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 09:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 09:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 09:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 09:10:40 	W 	kuaipan 	00000d18:00001b48 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 09:15:11 	W 	kuaipan 	00000d18:00000830 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 09:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 09:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 09:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 09:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 09:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 09:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 09:46:48 	W 	kuaipan 	00000d18:00000608 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 09:51:19 	W 	kuaipan 	00000d18:000017c0 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 10:00:21 	W 	kuaipan 	00000d18:00001c10 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 10:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 10:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 10:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 10:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 10:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 10:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 10:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 10:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 10:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 10:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 10:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 10:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 10:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 10:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 10:45:31 	W 	kuaipan 	00000d18:00002668 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 11:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 11:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 11:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 11:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 11:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 11:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 11:26:10 	W 	kuaipan 	00000d18:00001f88 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 11:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 11:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 11:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 11:32:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 11:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 11:34:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 12:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 12:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 12:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 12:02:29 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 12:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/20 12:04:00 	T 	kuaipan 	00000d18:00000d1c 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/20 12:06:05 	W 	kuaipan 	00000d18:000025a4 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 12:10:36 	W 	kuaipan 	00000d18:00002048 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
2013/11/20 12:15:07 	W 	kuaipan 	00000d18:000024f0 	ERROR_CHECK_BOOL:XLIVE_OK == ret 	FL:LibCurlHttpPostRequest.cpp(56)
